ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
25698;0,0;-0,01;42,0;-1,01;-0,01;0,11;1050;0;0;0;11,91;23,4;66;32;254,0;254,0;0;0,25;4,8;13;90,5;-0,0;29,19;0,38;3,7;18,65;11,52;-0,0;0;0
25708;0,0;-0,02;42,0;-0,77;0,01;0,26;1050;0;0;0;11,27;25,0;67;32;254,0;254,0;0;0,25;4,8;14;90,5;-0,0;29,5;0,25;8,78;18,69;11,58;-0,0;0;0
25718;0,0;-0,02;42,01;-0,97;0,02;0,12;1050;0;0;0;10,95;25,0;67;32;254,0;254,0;0;0,25;4,8;14;90,5;-0,0;28,66;0,67;4,16;18,69;11,64;-0,0;0;0
25728;0,0;-0,03;42,01;-0,58;0,01;0,14;1050;0;0;0;10,95;25,0;67;32;254,0;254,0;0;0,25;4,8;14;90,5;-0,0;28,66;0,25;4,62;18,69;11,7;-0,0;0;0
25738;0,0;-0,02;42,01;-0,68;0,05;0,0;1050;0;0;0;11,12;23,8;68;32;254,0;254,0;0;0,25;4,9;15;90,5;-0,0;27,71;1,51;0,0;18,73;11,77;-0,0;0;0
25748;0,0;-0,03;42,01;-0,81;0,01;0,08;1050;0;0;0;10,89;23,8;68;32;254,0;254,0;0;0,25;4,9;15;90,5;-0,0;27,13;0,46;2,54;18,73;11,83;-0,0;0;0
25758;0,0;-0,03;42,02;-0,5;0,06;0,05;1050;0;0;0;10,83;23,8;68;32;254,0;254,0;0;0,25;4,9;15;90,5;-0,0;27,0;2,14;1,85;18,73;11,9;-0,0;0;0
25768;0,0;-0,03;42,02;-0,77;0,01;0,18;1050;0;0;0;10,46;23,8;68;32;254,0;254,0;0;0,25;4,8;16;90,5;-0,0;26,08;0,25;6,01;18,77;11,97;-0,0;0;0
25778;0,0;-0,01;42,01;-0,57;0,02;0,19;1050;0;0;0;10,1;24,6;69;32;254,0;254,0;0;0,25;4,8;16;90,5;-0,0;26,03;0,67;6,24;18,77;12,02;-0,0;0;0
25788;0,0;-0,02;42,02;-0,68;0,02;0,21;1050;0;0;0;9,87;24,6;69;32;254,0;254,0;0;0,25;4,8;16;90,5;-0,0;25,43;0,67;7,16;18,77;12,08;-0,0;0;0
25798;0,0;-0,03;42,0;-0,76;-0,01;0,05;1050;0;0;0;9,81;24,6;69;32;254,0;254,0;0;0,25;4,9;17;90,5;-0,0;25,26;0,38;1,62;18,81;12,14;-0,0;0;0
25808;0,0;-0,01;42,01;-0,51;0,04;0,07;1050;0;0;0;9,79;24,7;70;32;254,0;254,0;0;0,25;4,9;17;90,5;-0,0;25,31;1,3;2,31;18,81;12,2;-0,0;0;0
25818;0,0;-0,01;42,01;-0,65;0,02;0,01;1050;0;0;0;9,44;24,7;70;32;254,0;254,0;0;0,25;4,9;17;90,5;-0,0;24,42;0,67;0,46;18,81;12,27;-0,0;0;0
25828;0,0;-0,03;42,0;-0,66;0,04;0,08;1050;0;0;0;9,22;24,7;70;32;254,0;254,0;0;0,25;4,8;18;90,5;-0,0;23,84;1,3;2,54;18,85;12,33;-0,0;0;0
